,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
106,106,0.8748195585299499,2025-01-03 00:25:23.156539,2025-01-03 00:26:57.013030,0 days 00:01:33.856491,3,145,190.0,,,,,,,,,,,135.0,,,,,,,,COMPLETE
107,107,0.8741706051339079,2025-01-03 00:26:57.013564,2025-01-03 00:29:02.794802,0 days 00:02:05.781238,5,120,180.0,,,,,,,,,,,115.0,190.0,90.0,,,,,,COMPLETE
108,108,0.8794544712127399,2025-01-03 00:29:02.795345,2025-01-03 00:30:08.746506,0 days 00:01:05.951161,2,150,160.0,,,,,,,,,,,,,,,,,,,COMPLETE
109,109,0.8745560912636599,2025-01-03 00:30:08.747026,2025-01-03 00:31:45.328256,0 days 00:01:36.581230,3,125,200.0,,,,,,,,,,,180.0,,,,,,,,COMPLETE
110,110,0.8755816540574332,2025-01-03 00:31:45.328786,2025-01-03 00:33:31.791707,0 days 00:01:46.462921,4,115,190.0,,,,,,,,,,,110.0,165.0,,,,,,,COMPLETE
111,111,0.8719508197522761,2025-01-03 00:33:31.792253,2025-01-03 00:34:54.625594,0 days 00:01:22.833341,3,130,185.0,,,,,,,,,,,80.0,,,,,,,,COMPLETE
112,112,0.8830233998401841,2025-01-03 00:34:54.626105,2025-01-03 00:36:09.794747,0 days 00:01:15.168642,2,190,180.0,,,,,,,,,,,,,,,,,,,COMPLETE
113,113,0.8789043574159092,2025-01-03 00:36:09.795271,2025-01-03 00:36:55.605426,0 days 00:00:45.810155,2,15,175.0,,,,,,,,,,,,,,,,,,,COMPLETE
114,114,0.493466862648028,2025-01-03 00:36:55.605932,2025-01-03 00:40:13.949228,0 days 00:03:18.343296,11,190,195.0,60.0,,,,,,,,,,95.0,160.0,25.0,30.0,35.0,120.0,120.0,145.0,COMPLETE
115,115,0.8797416580095219,2025-01-03 00:40:13.949830,2025-01-03 00:40:41.653408,0 days 00:00:27.703578,1,55,,,,,,,,,,,,,,,,,,,,COMPLETE
116,116,0.8740708611047037,2025-01-03 00:40:41.653880,2025-01-03 00:41:46.511543,0 days 00:01:04.857663,2,140,170.0,,,,,,,,,,,,,,,,,,,COMPLETE
117,117,0.8810933264881927,2025-01-03 00:41:46.512063,2025-01-03 00:42:48.912641,0 days 00:01:02.400578,2,135,160.0,,,,,,,,,,,,,,,,,,,COMPLETE
118,118,0.878788563849829,2025-01-03 00:42:48.913151,2025-01-03 00:44:25.660674,0 days 00:01:36.747523,4,110,165.0,,,,,,,,,,,95.0,130.0,,,,,,,COMPLETE
119,119,0.866687949829679,2025-01-03 00:44:25.661205,2025-01-03 00:45:09.081736,0 days 00:00:43.420531,1,165,,,,,,,,,,,,,,,,,,,,COMPLETE
120,120,0.8806839207650821,2025-01-03 00:45:09.082241,2025-01-03 00:46:12.179855,0 days 00:01:03.097614,2,125,180.0,,,,,,,,,,,,,,,,,,,COMPLETE
121,121,0.8740341932277167,2025-01-03 00:46:12.180370,2025-01-03 00:47:46.278985,0 days 00:01:34.098615,3,195,190.0,,,,,,,,,,,65.0,,,,,,,,COMPLETE
122,122,0.878794259156518,2025-01-03 00:47:46.279510,2025-01-03 00:49:13.998509,0 days 00:01:27.718999,3,200,185.0,,,,,,,,,,,50.0,,,,,,,,COMPLETE
123,123,0.8747672685140115,2025-01-03 00:49:13.999032,2025-01-03 00:50:45.031821,0 days 00:01:31.032789,3,185,200.0,,,,,,,,,,,60.0,,,,,,,,COMPLETE
